fund,fund_id,universe,method,effective_date,rank,ticker,asset_class,holding_group,weight
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2023-12-04,1,ABBV,equity,Healthcare,0.02
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2023-12-04,2,ABT,equity,Healthcare,0.02
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2023-12-04,3,ADBE,equity,Tech,0.02
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2023-12-04,4,AEP,equity,Utilities,0.02
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2023-12-04,5,AMD,equity,Tech,0.02
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2023-12-04,6,AMGN,equity,Healthcare,0.02
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2023-12-04,7,AMT,equity,RealEstate,0.02
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2023-12-04,8,BA,equity,Industrials,0.02
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2023-12-04,9,CAT,equity,Industrials,0.02
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2023-12-04,10,CCI,equity,RealEstate,0.02
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2023-12-04,11,CMCSA,equity,Comm,0.02
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2023-12-04,12,COP,equity,Energy,0.02
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2023-12-04,13,CVX,equity,Energy,0.02
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2023-12-04,14,D,equity,Utilities,0.02
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2023-12-04,15,DD,equity,Materials,0.02
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2023-12-04,16,DIS,equity,Consumer,0.02
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2023-12-04,17,DOW,equity,Materials,0.02
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2023-12-04,18,DUK,equity,Utilities,0.02
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2023-12-04,19,EA,equity,Comm,0.02
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2023-12-04,20,GE,equity,Industrials,0.02
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2023-12-04,21,GILD,equity,Healthcare,0.02
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2023-12-04,22,GS,equity,Financials,0.02
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2023-12-04,23,INTC,equity,Tech,0.02
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2023-12-04,24,KO,equity,Consumer,0.02
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2023-12-04,25,MMM,equity,Industrials,0.02
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2023-12-04,26,MRK,equity,Healthcare,0.02
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2023-12-04,27,MS,equity,Financials,0.02
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2023-12-04,28,NEE,equity,Utilities,0.02
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2023-12-04,29,NEM,equity,Materials,0.02
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2023-12-04,30,NKE,equity,Consumer,0.02
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2023-12-04,31,NUE,equity,Materials,0.02
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2023-12-04,32,NVDA,equity,Tech,0.02
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2023-12-04,33,O,equity,RealEstate,0.02
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2023-12-04,34,OXY,equity,Energy,0.02
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2023-12-04,35,PLD,equity,RealEstate,0.02
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2023-12-04,36,PSA,equity,RealEstate,0.02
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2023-12-04,37,QCOM,equity,Tech,0.02
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2023-12-04,38,SBUX,equity,Consumer,0.02
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2023-12-04,39,SHW,equity,Materials,0.02
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2023-12-04,40,SLB,equity,Energy,0.02
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2023-12-04,41,SO,equity,Utilities,0.02
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2023-12-04,42,T,equity,Comm,0.02
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2023-12-04,43,TMUS,equity,Comm,0.02
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2023-12-04,44,TTWO,equity,Comm,0.02
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2023-12-04,45,UPS,equity,Industrials,0.02
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2023-12-04,46,USB,equity,Financials,0.02
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2023-12-04,47,V,equity,Financials,0.02
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2023-12-04,48,WFC,equity,Financials,0.02
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2023-12-04,49,WMT,equity,Consumer,0.02
Equity-Only Equal Weight,equity_equal_weight,Equity-only,equal_weight,2023-12-04,50,XOM,equity,Energy,0.02
